year,company,car_name,km_driven,fuel_type,transmission,price,location
2019,Hyundai,Elite i20 SPORTZ PLUS 1.4 CRDI,95643,Diesel,Manual,₹7.13 Lakh,Ahmedabad
2021,Tata,ALTROZ XE PETROL,47357,Petrol,Manual,₹5.17 Lakh,Ahmedabad
2021,Maruti,Swift VXI,76623,Petrol,Manual,₹6.19 Lakh,Ahmedabad
2015,Skoda,Rapid 1.5 TDI CR ELEGANCE AT,69545,Diesel,Automatic,₹5.59 Lakh,Ahmedabad
2020,Maruti,Dzire VXI,70958,Petrol,Manual,₹6.16 Lakh,Ahmedabad
2020,Maruti,Swift ZXI PLUS AMT,45992,Petrol,Automatic,₹6.92 Lakh,Ahmedabad
2021,Volkswagen,Polo TRENDLINE 1.0L,23425,Petrol,Manual,₹5.86 Lakh,Ahmedabad
2022,Maruti,Swift ZXI PLUS AMT,24102,Petrol,Automatic,₹7.89 Lakh,Ahmedabad
2017,Hyundai,Creta E PLUS 1.4 DIESEL,82269,Diesel,Manual,₹8.27 Lakh,Ahmedabad
2018,Honda,Amaze 1.2L I-VTEC SX,42820,Petrol,Manual,₹4.90 Lakh,Ahmedabad
2016,Maruti,Vitara Brezza ZDI,88267,Diesel,Manual,₹6.99 Lakh,Ahmedabad
2022,Honda,City 1.5L I-VTEC VX,12495,Petrol,Manual,₹12.00 Lakh,Ahmedabad
2017,Tata,Tiago XZ PETROL,70332,Petrol,Manual,₹4.03 Lakh,Ahmedabad
2019,Tata,Tiago XT PETROL,88351,Petrol,Manual,₹4.14 Lakh,Ahmedabad
2022,Hyundai,AURA S 1.2 CNG,37146,CNG,Manual,₹7.88 Lakh,Ahmedabad
2015,Honda,City 1.5L I-VTEC SV,86754,Petrol,Manual,₹4.87 Lakh,Ahmedabad
2018,Tata,NEXON XM PETROL,33893,Petrol,Manual,₹6.75 Lakh,Ahmedabad
2022,Skoda,SLAVIA STYLE 1.0L TSI AT,32848,Petrol,Automatic,₹13.00 Lakh,Ahmedabad
